menu,total_calories,total_protein,total_fat,total_carb,protein_ratio,fat_ratio,carb_ratio,goal
Ức gà nướng (98g) + Khoai lang luộc (97g) + Salad rau củ (171g),336.3,34.2,9.3,27.4,0.407,0.249,0.326,giảm_cân
Ức gà nướng (97g) + Đậu hũ chiên (91g) + Đậu phộng rang (32g),461.8,44.8,26.6,10.0,0.388,0.518,0.087,tăng cân
Salad rau củ (155g) + Sữa tươi không đường (209g) + Trứng luộc (65g),228.0,13.8,13.1,13.2,0.242,0.517,0.232,giữ cân
Đậu phộng rang (38g) + Thịt bò xào hành (74g),387.7,28.1,28.8,9.8,0.29,0.669,0.101,không_phù_hợp
Cá hồi áp chảo (71g) + Trứng luộc (59g) + Sữa tươi không đường (171g),274.2,26.0,16.3,5.0,0.379,0.535,0.073,không_phù_hợp
Cơm gạo lứt (79g) + Trái chuối (121g) + Cháo yến mạch (144g),303.4,7.0,3.2,65.4,0.092,0.095,0.862,không_phù_hợp
Cháo yến mạch (220g) + Canh bí đỏ (178g),209.5,6.4,4.6,37.7,0.122,0.198,0.72,không_phù_hợp
Khoai lang luộc (92g) + Bông cải xanh hấp (77g),121.5,4.3,0.6,26.9,0.142,0.044,0.886,tăng_cân
Cháo yến mạch (171g) + Đậu phộng rang (35g) + Cá hồi áp chảo (74g),467.4,28.7,28.5,30.1,0.246,0.549,0.258,không_phù_hợp
Đậu hũ chiên (105g) + Canh bí đỏ (230g) + Trà gừng mật ong (166g),241.9,9.6,11.2,22.9,0.159,0.417,0.379,không_phù_hợp
Trà gừng mật ong (240g) + Canh bí đỏ (146g),84.5,0.7,1.1,18.6,0.033,0.117,0.88,không_phù_hợp
Bông cải xanh hấp (73g) + Trái chuối (114g),141.6,4.0,0.8,34.2,0.113,0.051,0.966,không_phù_hợp
Ức gà nướng (102g) + Bông cải xanh hấp (86g) + Sữa tươi không đường (210g),259.7,38.4,5.2,14.7,0.591,0.18,0.226,giảm_mỡ
Đậu hũ chiên (130g) + Ức gà nướng (119g) + Cơm gạo lứt (130g),527.9,50.7,17.2,35.1,0.384,0.293,0.266,giảm_cân
